# Date: experiment date									
# Group: MM = mock primary, mock secondary; MO = mock primary, H2O2 secondary; PM = phosphate starve primary, mock secondary; PO = phosphate starve primary, H2O2 secondary									
# Len_1: length of primary stress treatment									
# Len_2: length of secondary stress treatment									
# Dilutions: dilutions for CFU assay									
# Count: raw counts on CFU plates									
Date	Strain	Species	Genotype	Group	Len_1	Len_2	H2O2	Dilutions	Count
2/24/24	yH181	lab strain	wt	MO	45min	120min	60	100	64
2/24/24	yH181	lab strain	wt	MO	45min	120min	80	100	34
2/24/24	yH181	lab strain	wt	MO	45min	120min	100	100	5
2/24/24	yH181	lab strain	wt	PM	45min	120min	0	1000	262
2/24/24	yH181	lab strain	wt	PO	45min	120min	60	1000	96
2/24/24	yH181	lab strain	wt	PO	45min	120min	80	1000	77
2/24/24	yH181	lab strain	wt	PO	45min	120min	100	1000	22
02/27/24	yH97	Cg tolerant	wt	MM	45min	120min	0	1000	172
02/27/24	yH97	Cg tolerant	wt	MO	45min	120min	100	100	68
02/27/24	yH97	Cg tolerant	wt	MO	45min	120min	120	100	21
02/27/24	yH97	Cg tolerant	wt	MO	45min	120min	140	100	8
02/27/24	yH97	Cg tolerant	wt	PM	45min	120min	0	1000	74
02/27/24	yH97	Cg tolerant	wt	PO	45min	120min	100	1000	35
02/27/24	yH97	Cg tolerant	wt	PO	45min	120min	120	1000	41
02/27/24	yH97	Cg tolerant	wt	PO	45min	120min	140	1000	8
02/27/24	yH103	Sensitive 1	wt	MM	45min	120min	0	1000	130
02/27/24	yH103	Sensitive 1	wt	MO	45min	120min	15	100	69
02/27/24	yH103	Sensitive 1	wt	MO	45min	120min	20	100	65
02/27/24	yH103	Sensitive 1	wt	MO	45min	120min	25	100	22
02/27/24	yH103	Sensitive 1	wt	PM	45min	120min	0	1000	161
02/27/24	yH103	Sensitive 1	wt	PO	45min	120min	15	1000	37
02/27/24	yH103	Sensitive 1	wt	PO	45min	120min	20	1000	25
02/27/24	yH103	Sensitive 1	wt	PO	45min	120min	25	1000	25
02/27/24	yH250	Sensitive 2	wt	MM	45min	120min	0	1000	332
02/27/24	yH250	Sensitive 2	wt	MO	45min	120min	20	100	211
02/27/24	yH250	Sensitive 2	wt	MO	45min	120min	40	100	30
02/27/24	yH250	Sensitive 2	wt	MO	45min	120min	60	100	4
02/27/24	yH250	Sensitive 2	wt	PM	45min	120min	0	1000	193
02/27/24	yH250	Sensitive 2	wt	PO	45min	120min	20	1000	92
02/27/24	yH250	Sensitive 2	wt	PO	45min	120min	40	1000	55
02/27/24	yH250	Sensitive 2	wt	PO	45min	120min	60	1000	45
02/27/24	yH181	lab strain	wt	MM	45min	120min	0	1000	222
02/27/24	yH181	lab strain	wt	MO	45min	120min	60	100	32
02/27/24	yH181	lab strain	wt	MO	45min	120min	80	100	6
02/27/24	yH181	lab strain	wt	MO	45min	120min	100	100	5
02/27/24	yH181	lab strain	wt	PM	45min	120min	0	1000	215
02/27/24	yH181	lab strain	wt	PO	45min	120min	60	1000	51
02/27/24	yH181	lab strain	wt	PO	45min	120min	80	1000	24
02/27/24	yH181	lab strain	wt	PO	45min	120min	100	1000	13
03/01/24	yH97	Cg tolerant	wt	MM	45min	120min	0	1000	482
03/01/24	yH97	Cg tolerant	wt	MO	45min	120min	100	100	44
03/01/24	yH97	Cg tolerant	wt	MO	45min	120min	120	100	19
03/01/24	yH97	Cg tolerant	wt	MO	45min	120min	140	100	17
03/01/24	yH97	Cg tolerant	wt	PM	45min	120min	0	1000	442
03/01/24	yH97	Cg tolerant	wt	PO	45min	120min	100	1000	40
03/01/24	yH97	Cg tolerant	wt	PO	45min	120min	120	1000	24
03/01/24	yH97	Cg tolerant	wt	PO	45min	120min	140	1000	28
03/01/24	yH103	Sensitive 1	wt	MM	45min	120min	0	1000	150
03/01/24	yH103	Sensitive 1	wt	MO	45min	120min	15	100	27
03/01/24	yH103	Sensitive 1	wt	MO	45min	120min	20	100	7
03/01/24	yH103	Sensitive 1	wt	MO	45min	120min	25	100	2
03/01/24	yH103	Sensitive 1	wt	PM	45min	120min	0	1000	121
03/01/24	yH103	Sensitive 1	wt	PO	45min	120min	15	1000	17
03/01/24	yH103	Sensitive 1	wt	PO	45min	120min	20	1000	7
03/01/24	yH103	Sensitive 1	wt	PO	45min	120min	25	1000	10
03/01/24	yH250	Sensitive 2	wt	MM	45min	120min	0	1000	504
03/01/24	yH250	Sensitive 2	wt	MO	45min	120min	20	100	287
03/01/24	yH250	Sensitive 2	wt	MO	45min	120min	40	100	36
03/01/24	yH250	Sensitive 2	wt	MO	45min	120min	60	100	6
03/01/24	yH250	Sensitive 2	wt	PM	45min	120min	0	1000	443
03/01/24	yH250	Sensitive 2	wt	PO	45min	120min	20	1000	150
03/01/24	yH250	Sensitive 2	wt	PO	45min	120min	40	1000	96
03/01/24	yH250	Sensitive 2	wt	PO	45min	120min	60	1000	56
03/01/24	yH181	lab strain	wt	MM	45min	120min	0	1000	391
03/01/24	yH181	lab strain	wt	MO	45min	120min	60	100	43
03/01/24	yH181	lab strain	wt	MO	45min	120min	80	100	14
03/01/24	yH181	lab strain	wt	MO	45min	120min	100	100	3
03/01/24	yH181	lab strain	wt	PM	45min	120min	0	1000	458
03/01/24	yH181	lab strain	wt	PO	45min	120min	60	1000	86
03/01/24	yH181	lab strain	wt	PO	45min	120min	80	1000	47
03/01/24	yH181	lab strain	wt	PO	45min	120min	100	1000	37
03/18/24	yH97	Cg tolerant	wt	MM	45min	120min	0	1000	510
03/18/24	yH97	Cg tolerant	wt	MO	45min	120min	100	100	167
03/18/24	yH97	Cg tolerant	wt	MO	45min	120min	120	100	91
03/18/24	yH97	Cg tolerant	wt	MO	45min	120min	140	100	25
03/18/24	yH97	Cg tolerant	wt	PM	45min	120min	0	1000	641
03/18/24	yH97	Cg tolerant	wt	PO	45min	120min	100	1000	92
03/18/24	yH97	Cg tolerant	wt	PO	45min	120min	120	1000	29
03/18/24	yH97	Cg tolerant	wt	PO	45min	120min	140	1000	11
03/18/24	yH250	Sensitive 2	wt	MM	45min	120min	0	1000	349
03/18/24	yH250	Sensitive 2	wt	MO	45min	120min	20	100	255
03/18/24	yH250	Sensitive 2	wt	MO	45min	120min	40	100	97
03/18/24	yH250	Sensitive 2	wt	MO	45min	120min	60	100	34
03/18/24	yH250	Sensitive 2	wt	PM	45min	120min	0	1000	407
03/18/24	yH250	Sensitive 2	wt	PO	45min	120min	20	1000	154
03/18/24	yH250	Sensitive 2	wt	PO	45min	120min	40	1000	106
03/18/24	yH250	Sensitive 2	wt	PO	45min	120min	60	1000	60
