# Date: experiment date, A/B/letters is biological replicates done on the same day									
# Group: MM = mock primary, mock secondary; MO = mock primary, H2O2 secondary; PM = phosphate starve primary, mock secondary; PO = phosphate starve primary, H2O2 secondary									
# Len_1: length of primary stress treatment									
# Len_2: length of secondary stress treatment									
# Dilutions: dilutions for CFU assay									
# Count: raw counts on CFU plates									
Date	Strain	Species	Genotype	Group	Len_1	Len_2	H2O2	Dilutions	Count
08/29/22	yH149	Kl	wt	MO	45 min	2 hr	2.5 mM	1000	26
08/29/22	yH149	Kl	wt	MO	45 min	2 hr	3 mM	1000	35
08/29/22	yH149	Kl	wt	MO	45 min	2 hr	3.5 mM	1000	24
08/29/22	yH149	Kl	wt	PM	45 min	2 hr	0 mM	1000	635
08/29/22	yH149	Kl	wt	PO	45 min	2 hr	1.5 mM	1000	90
08/29/22	yH149	Kl	wt	PO	45 min	2 hr	2 mM	1000	137
08/29/22	yH149	Kl	wt	PO	45 min	2 hr	2.5 mM	1000	148
08/29/22	yH149	Kl	wt	PO	45 min	2 hr	3 mM	1000	109
08/29/22	yH149	Kl	wt	PO	45 min	2 hr	3.5 mM	1000	88
08/29/22	yH154	Sc	wt	MM	45 min	2 hr	0 mM	1000	283
08/29/22	yH154	Sc	wt	MO	45 min	2 hr	1.5 mM	1000	19
08/29/22	yH154	Sc	wt	MO	45 min	2 hr	2 mM	1000	25
08/29/22	yH154	Sc	wt	MO	45 min	2 hr	2.5 mM	1000	23
08/29/22	yH154	Sc	wt	MO	45 min	2 hr	3 mM	1000	17
08/29/22	yH154	Sc	wt	MO	45 min	2 hr	3.5 mM	1000	11
08/29/22	yH154	Sc	wt	PM	45 min	2 hr	0 mM	1000	315
08/29/22	yH154	Sc	wt	PO	45 min	2 hr	1.5 mM	1000	41
08/29/22	yH154	Sc	wt	PO	45 min	2 hr	2 mM	1000	20
08/29/22	yH154	Sc	wt	PO	45 min	2 hr	2.5 mM	1000	26
08/29/22	yH154	Sc	wt	PO	45 min	2 hr	3 mM	1000	18
08/29/22	yH154	Sc	wt	PO	45 min	2 hr	3.5 mM	1000	29
08/31/22	yH149	Kl	wt	MM	45 min	2 hr	0 mM	1000	296
08/31/22	yH149	Kl	wt	MO	45 min	2 hr	1.5 mM	1000	28
08/31/22	yH149	Kl	wt	MO	45 min	2 hr	2 mM	1000	7
08/31/22	yH149	Kl	wt	MO	45 min	2 hr	2.5 mM	1000	10
08/31/22	yH149	Kl	wt	MO	45 min	2 hr	3 mM	1000	6
08/31/22	yH149	Kl	wt	MO	45 min	2 hr	3.5 mM	1000	2
08/31/22	yH149	Kl	wt	PM	45 min	2 hr	0 mM	1000	536
08/31/22	yH149	Kl	wt	PO	45 min	2 hr	1.5 mM	1000	90
08/31/22	yH149	Kl	wt	PO	45 min	2 hr	2 mM	1000	54
08/31/22	yH149	Kl	wt	PO	45 min	2 hr	2.5 mM	1000	66
08/31/22	yH149	Kl	wt	PO	45 min	2 hr	3 mM	1000	46
08/31/22	yH149	Kl	wt	PO	45 min	2 hr	3.5 mM	1000	44
08/31/22	yH154	Sc	wt	MM	45 min	2 hr	0 mM	1000	171
08/31/22	yH154	Sc	wt	MO	45 min	2 hr	1.5 mM	1000	40
08/31/22	yH154	Sc	wt	MO	45 min	2 hr	2 mM	1000	30
08/31/22	yH154	Sc	wt	MO	45 min	2 hr	2.5 mM	1000	30
08/31/22	yH154	Sc	wt	MO	45 min	2 hr	3 mM	1000	18
08/31/22	yH154	Sc	wt	MO	45 min	2 hr	3.5 mM	1000	22
08/31/22	yH154	Sc	wt	PM	45 min	2 hr	0 mM	1000	320
08/31/22	yH154	Sc	wt	PO	45 min	2 hr	1.5 mM	1000	43
08/31/22	yH154	Sc	wt	PO	45 min	2 hr	2 mM	1000	32
08/31/22	yH154	Sc	wt	PO	45 min	2 hr	2.5 mM	1000	34
08/31/22	yH154	Sc	wt	PO	45 min	2 hr	3 mM	1000	38
08/31/22	yH154	Sc	wt	PO	45 min	2 hr	3.5 mM	1000	36
09/01/22	yH154	Sc	wt	MM	45 min	2 hr	0 mM	1000	268
09/01/22	yH154	Sc	wt	MO	45 min	2 hr	1.5 mM	1000	36
09/01/22	yH154	Sc	wt	MO	45 min	2 hr	2 mM	1000	25
09/01/22	yH154	Sc	wt	MO	45 min	2 hr	2.5 mM	1000	48
09/01/22	yH154	Sc	wt	MO	45 min	2 hr	3 mM	1000	21
09/01/22	yH154	Sc	wt	MO	45 min	2 hr	3.5 mM	1000	10
09/01/22	yH154	Sc	wt	PM	45 min	2 hr	0 mM	1000	221
09/01/22	yH154	Sc	wt	PO	45 min	2 hr	1.5 mM	1000	24
09/01/22	yH154	Sc	wt	PO	45 min	2 hr	2 mM	1000	31
09/01/22	yH154	Sc	wt	PO	45 min	2 hr	2.5 mM	1000	25
09/01/22	yH154	Sc	wt	PO	45 min	2 hr	3 mM	1000	26
09/01/22	yH154	Sc	wt	PO	45 min	2 hr	3.5 mM	1000	18
09/01/22	yH149	Kl	wt	MM	45 min	2 hr	0 mM	1000	336
09/01/22	yH149	Kl	wt	MO	45 min	2 hr	1.5 mM	1000	17
09/01/22	yH149	Kl	wt	MO	45 min	2 hr	2 mM	1000	4
09/01/22	yH149	Kl	wt	MO	45 min	2 hr	2.5 mM	1000	8
09/01/22	yH149	Kl	wt	MO	45 min	2 hr	3 mM	1000	5
09/01/22	yH149	Kl	wt	MO	45 min	2 hr	3.5 mM	1000	7
09/01/22	yH149	Kl	wt	PM	45 min	2 hr	0 mM	1000	163
09/01/22	yH149	Kl	wt	PO	45 min	2 hr	1.5 mM	1000	21
09/01/22	yH149	Kl	wt	PO	45 min	2 hr	2 mM	1000	8
09/01/22	yH149	Kl	wt	PO	45 min	2 hr	2.5 mM	1000	16
09/01/22	yH149	Kl	wt	PO	45 min	2 hr	3 mM	1000	19
09/01/22	yH149	Kl	wt	PO	45 min	2 hr	3.5 mM	1000	13
09/02/22	yH154	Sc	wt	MM	45 min	2 hr	0 mM	1000	297
