Date	Treatment	Dye	sample	n_root	n_cells	n_singlet	n_live	n_inter	n_dead	percent_Dead	percent_Live	percent_inter	name
011124	0 mM	PI	011124_Dye Order_Experiment_Plate_0_p.fcs	30000	29922	19528	19395	0	0	0	0.9931892666939779	0	011124_Dye Order_Experiment_Plate_0_p.fcs
011124	0 mM	PI_first	011124_Dye Order_Experiment_Plate_0_pf.fcs	30000	29939	19441	13184	6053	202	0.010390412015842806	0.6781544159251067	0.311352296692557	011124_Dye Order_Experiment_Plate_0_pf.fcs
011124	0 mM	SYTO9_first	011124_Dye Order_Experiment_Plate_0_sf.fcs	30000	29908	18713	15152	3422	134	0.007160797306685192	0.8097044835141346	0.18286752524982633	011124_Dye Order_Experiment_Plate_0_sf.fcs
011124	10 mM	PI	011124_Dye Order_Experiment_Plate_10_p.fcs	30000	29865	18666	18474	0	0	0	0.989713918354227	0	011124_Dye Order_Experiment_Plate_10_p.fcs
011124	10 mM	PI_first	011124_Dye Order_Experiment_Plate_10_pf.fcs	30000	29902	18427	15428	2832	166	0.009008520106365658	0.8372496879578879	0.15368752374233463	011124_Dye Order_Experiment_Plate_10_pf.fcs
011124	10 mM	SYTO9_first	011124_Dye Order_Experiment_Plate_10_sf.fcs	30000	29800	19689	16663	2806	208	0.010564274467977043	0.8463101224033724	0.142516125755498	011124_Dye Order_Experiment_Plate_10_sf.fcs
011124	100 mM	PI	011124_Dye Order_Experiment_Plate_100_p.fcs	30000	29944	19230	18953	0	0	0	0.9855954238169526	0	011124_Dye Order_Experiment_Plate_100_p.fcs
011124	100 mM	PI_first	011124_Dye Order_Experiment_Plate_100_pf.fcs	30000	29934	18932	10002	8580	340	0.017959011197971688	0.5283118529473907	0.4532009296429326	011124_Dye Order_Experiment_Plate_100_pf.fcs
011124	100 mM	SYTO9_first	011124_Dye Order_Experiment_Plate_100_sf.fcs	30000	29942	18264	6862	11124	267	0.01461892247043364	0.3757117827420061	0.6090670170827858	011124_Dye Order_Experiment_Plate_100_sf.fcs
011124	1000 mM	PI	011124_Dye Order_Experiment_Plate_1000_p.fcs	30000	29924	19062	20	0	0	0	0.0010492078480747037	0	011124_Dye Order_Experiment_Plate_1000_p.fcs
