Date	Treatment	Dilution	Dye	sample	n_root	n_cells	n_singlet	n_RedPositive	percent_RP	name
112123	0 mM	2000 x	PI	112123_dilutions_Experiment_Plate_0_2000_p.fcs	20394	20319	13938	64	0.004591763524178505	112123_dilutions_Experiment_Plate_0_2000_p.fcs
112123	0 mM	2000 x	SYTO9	112123_dilutions_Experiment_Plate_0_2000.fcs	26759	26466	18390	21	0.0011419249592169657	112123_dilutions_Experiment_Plate_0_2000.fcs
112123	0 mM	250 x	PI	112123_dilutions_Experiment_Plate_0_250_p.fcs	18427	18344	12609	88	0.006979141882782139	112123_dilutions_Experiment_Plate_0_250_p.fcs
112123	0 mM	250 x	SYTO9	112123_dilutions_Experiment_Plate_0_250.fcs	18359	18083	12708	102	0.008026440037771483	112123_dilutions_Experiment_Plate_0_250.fcs
112123	0 mM	500 x	PI	112123_dilutions_Experiment_Plate_0_500_p.fcs	19676	19568	13261	88	0.006636000301636378	112123_dilutions_Experiment_Plate_0_500_p.fcs
112123	0 mM	500 x	SYTO9	112123_dilutions_Experiment_Plate_0_500.fcs	21412	21264	14823	248	0.016730756257167915	112123_dilutions_Experiment_Plate_0_500.fcs
112123	10 mM	1000 x	PI	112123_dilutions_Experiment_Plate_10_1000_p.fcs	17013	16900	11368	196	0.017241379310344827	112123_dilutions_Experiment_Plate_10_1000_p.fcs
112123	10 mM	1000 x	SYTO9	112123_dilutions_Experiment_Plate_10_1000.fcs	11522	11432	7739	68	0.008786664943791187	112123_dilutions_Experiment_Plate_10_1000.fcs
112123	10 mM	2000 x	PI	112123_dilutions_Experiment_Plate_10_2000_p.fcs	18305	18119	12222	272	0.022254950090001637	112123_dilutions_Experiment_Plate_10_2000_p.fcs
112123	10 mM	2000 x	SYTO9	112123_dilutions_Experiment_Plate_10_2000.fcs	18876	18752	12692	23	0.0018121651433974156	112123_dilutions_Experiment_Plate_10_2000.fcs
112123	10 mM	250 x	PI	112123_dilutions_Experiment_Plate_10_250_p.fcs	15889	15785	10617	232	0.021851747197890178	112123_dilutions_Experiment_Plate_10_250_p.fcs
112123	10 mM	250 x	SYTO9	112123_dilutions_Experiment_Plate_10_250.fcs	14077	13988	9387	281	0.02993501651219772	112123_dilutions_Experiment_Plate_10_250.fcs
112123	10 mM	500 x	PI	112123_dilutions_Experiment_Plate_10_500_p.fcs	14968	14864	9894	162	0.01637355973317162	112123_dilutions_Experiment_Plate_10_500_p.fcs
112123	10 mM	500 x	SYTO9	112123_dilutions_Experiment_Plate_10_500.fcs	14607	14490	9754	362	0.037112979290547465	112123_dilutions_Experiment_Plate_10_500.fcs
112123	100 mM	1000 x	PI	112123_dilutions_Experiment_Plate_100_1000_p.fcs	20346	20272	13637	920	0.06746351836914277	112123_dilutions_Experiment_Plate_100_1000_p.fcs
112123	100 mM	1000 x	SYTO9	112123_dilutions_Experiment_Plate_100_1000.fcs	18148	18072	12193	122	0.010005740998933815	112123_dilutions_Experiment_Plate_100_1000.fcs
112123	100 mM	2000 x	PI	112123_dilutions_Experiment_Plate_100_2000_p.fcs	19738	19668	13323	875	0.06567589882158673	112123_dilutions_Experiment_Plate_100_2000_p.fcs
112123	100 mM	2000 x	SYTO9	112123_dilutions_Experiment_Plate_100_2000.fcs	21661	21570	14337	46	0.0032084815512310803	112123_dilutions_Experiment_Plate_100_2000.fcs
112123	100 mM	250 x	PI	112123_dilutions_Experiment_Plate_100_250_p.fcs	15309	15261	10656	999	0.09375	112123_dilutions_Experiment_Plate_100_250_p.fcs
112123	100 mM	250 x	SYTO9	112123_dilutions_Experiment_Plate_100_250.fcs	19319	19009	13132	7	5.330490405117271e-4	112123_dilutions_Experiment_Plate_100_250.fcs
112123	100 mM	500 x	PI	112123_dilutions_Experiment_Plate_100_500_p.fcs	17917	17869	11667	883	0.07568355189851718	112123_dilutions_Experiment_Plate_100_500_p.fcs
112123	100 mM	500 x	SYTO9	112123_dilutions_Experiment_Plate_100_500.fcs	17631	17489	11785	46	0.003903266864658464	112123_dilutions_Experiment_Plate_100_500.fcs
112123	1000 mM	1000 x	PI	112123_dilutions_Experiment_Plate_1000_1000_p.fcs	19330	19255	13288	13288	1	112123_dilutions_Experiment_Plate_1000_1000_p.fcs
112123	1000 mM	1000 x	SYTO9	112123_dilutions_Experiment_Plate_1000_1000.fcs	20542	19880	13437	106	0.007888665624767434	112123_dilutions_Experiment_Plate_1000_1000.fcs
112123	1000 mM	2000 x	PI	112123_dilutions_Experiment_Plate_1000_2000_p.fcs	17913	17833	12214	12210	0.9996725069592272	112123_dilutions_Experiment_Plate_1000_2000_p.fcs
112123	1000 mM	2000 x	SYTO9	112123_dilutions_Experiment_Plate_1000_2000.fcs	20514	20435	14389	205	0.014246994231704774	112123_dilutions_Experiment_Plate_1000_2000.fcs
112123	1000 mM	250 x	PI	112123_dilutions_Experiment_Plate_1000_250_p.fcs	16481	16420	11469	11459	0.99912808440143	112123_dilutions_Experiment_Plate_1000_250_p.fcs
112123	1000 mM	250 x	SYTO9	112123_dilutions_Experiment_Plate_1000_250.fcs	1960	1865	1309	103	0.07868601986249045	112123_dilutions_Experiment_Plate_1000_250.fcs
112123	1000 mM	500 x	PI	112123_dilutions_Experiment_Plate_1000_500_p.fcs	16586	16527	11165	11160	0.999552171965965	112123_dilutions_Experiment_Plate_1000_500_p.fcs
112123	1000 mM	500 x	SYTO9	112123_dilutions_Experiment_Plate_1000_500.fcs	9969	9907	7003	24	0.003427102670284164	112123_dilutions_Experiment_Plate_1000_500.fcs
112223	0 mM	1000 x	PI	112223_dilutions_Experiment_Plate_0_1000_p.fcs	22418	20708	13530	516	0.03813747228381375	112223_dilutions_Experiment_Plate_0_1000_p.fcs
112223	0 mM	1000 x	SYTO9	112223_dilutions_Experiment_Plate_0_1000.fcs	21246	20688	13581	154	0.011339371180325455	112223_dilutions_Experiment_Plate_0_1000.fcs
112223	0 mM	2000 x	PI	112223_dilutions_Experiment_Plate_0_2000_p.fcs	22300	20926	13759	249	0.01809724543934879	112223_dilutions_Experiment_Plate_0_2000_p.fcs
112223	0 mM	2000 x	SYTO9	112223_dilutions_Experiment_Plate_0_2000.fcs	26329	25510	16954	46	0.002713224017930872	112223_dilutions_Experiment_Plate_0_2000.fcs
112223	0 mM	250 x	PI	112223_dilutions_Experiment_Plate_0_250_p.fcs	20393	18379	12190	299	0.024528301886792454	112223_dilutions_Experiment_Plate_0_250_p.fcs
112223	0 mM	250 x	SYTO9	112223_dilutions_Experiment_Plate_0_250.fcs	23646	22688	15334	418	0.027259684361549498	112223_dilutions_Experiment_Plate_0_250.fcs
112223	0 mM	500 x	PI	112223_dilutions_Experiment_Plate_0_500_p.fcs	25062	21525	14555	1022	0.0702164204740639	112223_dilutions_Experiment_Plate_0_500_p.fcs
112223	0 mM	500 x	SYTO9	112223_dilutions_Experiment_Plate_0_500.fcs	23643	22501	14982	717	0.04785742891469764	112223_dilutions_Experiment_Plate_0_500.fcs
112223	10 mM	1000 x	PI	112223_dilutions_Experiment_Plate_10_1000_p.fcs	18555	17916	11406	125	0.010959144310012275	112223_dilutions_Experiment_Plate_10_1000_p.fcs
112223	10 mM	1000 x	SYTO9	112223_dilutions_Experiment_Plate_10_1000.fcs	16938	16430	10557	205	0.01941839537747466	112223_dilutions_Experiment_Plate_10_1000.fcs
112223	10 mM	2000 x	PI	112223_dilutions_Experiment_Plate_10_2000_p.fcs	20025	19346	12384	260	0.02099483204134367	112223_dilutions_Experiment_Plate_10_2000_p.fcs
112223	10 mM	2000 x	SYTO9	112223_dilutions_Experiment_Plate_10_2000.fcs	22636	22079	14229	65	0.004568135497926769	112223_dilutions_Experiment_Plate_10_2000.fcs
112223	10 mM	250 x	PI	112223_dilutions_Experiment_Plate_10_250_p.fcs	18147	17265	11259	152	0.013500310862421174	112223_dilutions_Experiment_Plate_10_250_p.fcs
112223	10 mM	250 x	SYTO9	112223_dilutions_Experiment_Plate_10_250.fcs	20941	19871	13041	650	0.049842803465991875	112223_dilutions_Experiment_Plate_10_250.fcs
112223	10 mM	500 x	PI	112223_dilutions_Experiment_Plate_10_500_p.fcs	18361	17058	10374	162	0.015615962984384037	112223_dilutions_Experiment_Plate_10_500_p.fcs
112223	10 mM	500 x	SYTO9	112223_dilutions_Experiment_Plate_10_500.fcs	20591	19873	12979	470	0.03621234301564065	112223_dilutions_Experiment_Plate_10_500.fcs
112223	100 mM	1000 x	PI	112223_dilutions_Experiment_Plate_100_1000_p.fcs	19341	18979	12606	293	0.023242900206250992	112223_dilutions_Experiment_Plate_100_1000_p.fcs
112223	100 mM	1000 x	SYTO9	112223_dilutions_Experiment_Plate_100_1000.fcs	18931	18648	12535	86	0.0068607897885919426	112223_dilutions_Experiment_Plate_100_1000.fcs
112223	100 mM	2000 x	PI	112223_dilutions_Experiment_Plate_100_2000_p.fcs	22278	22133	14459	407	0.028148557991562347	112223_dilutions_Experiment_Plate_100_2000_p.fcs
112223	100 mM	2000 x	SYTO9	112223_dilutions_Experiment_Plate_100_2000.fcs	21477	21342	14188	108	0.007612066535100085	112223_dilutions_Experiment_Plate_100_2000.fcs
112223	100 mM	250 x	PI	112223_dilutions_Experiment_Plate_100_250_p.fcs	19511	19361	13007	714	0.05489351887445222	112223_dilutions_Experiment_Plate_100_250_p.fcs
112223	100 mM	250 x	SYTO9	112223_dilutions_Experiment_Plate_100_250.fcs	21859	21493	14222	20	0.0014062719729995782	112223_dilutions_Experiment_Plate_100_250.fcs
112223	100 mM	500 x	PI	112223_dilutions_Experiment_Plate_100_500_p.fcs	19734	19306	12307	402	0.032664337368977	112223_dilutions_Experiment_Plate_100_500_p.fcs
112223	100 mM	500 x	SYTO9	112223_dilutions_Experiment_Plate_100_500.fcs	22782	22280	14893	47	0.00315584502786544	112223_dilutions_Experiment_Plate_100_500.fcs
112223	1000 mM	1000 x	PI	112223_dilutions_Experiment_Plate_1000_1000_p.fcs	12477	12156	8247	8190	0.9930883957802837	112223_dilutions_Experiment_Plate_1000_1000_p.fcs
112223	1000 mM	1000 x	SYTO9	112223_dilutions_Experiment_Plate_1000_1000.fcs	11844	11671	8054	76	0.009436304941643903	112223_dilutions_Experiment_Plate_1000_1000.fcs
112223	1000 mM	2000 x	PI	112223_dilutions_Experiment_Plate_1000_2000_p.fcs	13531	13346	9115	9077	0.9958310477235326	112223_dilutions_Experiment_Plate_1000_2000_p.fcs
112223	1000 mM	2000 x	SYTO9	112223_dilutions_Experiment_Plate_1000_2000.fcs	14779	14585	9914	203	0.020476094411942706	112223_dilutions_Experiment_Plate_1000_2000.fcs
112223	1000 mM	250 x	PI	112223_dilutions_Experiment_Plate_1000_250_p.fcs	12341	12166	8433	8377	0.9933594213210009	112223_dilutions_Experiment_Plate_1000_250_p.fcs
112223	1000 mM	250 x	SYTO9	112223_dilutions_Experiment_Plate_1000_250.fcs	14581	14300	9826	4	4.070832485243232e-4	112223_dilutions_Experiment_Plate_1000_250.fcs
112223	1000 mM	500 x	PI	112223_dilutions_Experiment_Plate_1000_500_p.fcs	12040	11749	7405	7348	0.9923024983119514	112223_dilutions_Experiment_Plate_1000_500_p.fcs
112223	1000 mM	500 x	SYTO9	112223_dilutions_Experiment_Plate_1000_500.fcs	14118	13925	9603	8	8.330729980214516e-4	112223_dilutions_Experiment_Plate_1000_500.fcs
